Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.75726E-8,0.000002757,0.000010642,1,0,0
7.57247E-8,0.00001033,0.000029228,0.998272884,0,0
1.45945E-7,0.000037303,0.00005633,0.994818653,0,0
1.81184E-7,0.000055422,0.00006993,0.993091537,0,0
9.06075E-7,0.00017706,0.000349664,0.989637306,0,0
1.29571E-6,0.000306631,0.00049999,0.98791019,0,0
3.27383E-6,0.000814015,0.001262828,0.984455959,0,0
7.74023E-6,0.001588038,0.002983101,0.982728843,0,0
8.82587E-6,0.003332666,0.003400796,0.979274611,0,0
9.82525E-6,0.005199512,0.003785151,0.97582038,0,0
1.19957E-5,0.010866408,0.004619375,0.967184801,0,0
1.62847E-5,0.025396642,0.006265822,0.949913644,0,0
2.18575E-5,0.050948766,0.008401039,0.92746114,0,0
3.37021E-5,0.100186266,0.012924037,0.898100173,0,0
5.20036E-5,0.202289138,0.019872163,0.856649396,0,0
6.5649E-5,0.301628878,0.025020762,0.827288428,0,0
7.82278E-5,0.402664116,0.029742939,0.803108808,0.003460208,0
9.18962E-5,0.503990491,0.034848256,0.78238342,0.003460208,0
1.10386E-4,0.607736135,0.041711634,0.765112263,0.003460208,0
1.49452E-4,0.709665912,0.056052944,0.751295337,0.003460208,0
1.56452E-4,0.755725331,0.058599763,0.74611399,0.003460208,0
1.71836E-4,0.806534862,0.064173134,0.740932642,0.003460208,0
2.09262E-4,0.919107153,0.077594633,0.730569948,0.003460208,0
2.22633E-4,1.005677016,0.08234305,0.723661485,0.003460208,0
2.43999E-4,1.121376155,0.089879374,0.715025907,0.003460208,0
2.64623E-4,1.225203484,0.097095683,0.708117444,0.003460208,0
2.75395E-4,1.306453992,0.100841807,0.702936097,0.003460208,0
3.0102E-4,1.42081283,0.109691377,0.696027634,0.003460208,0
3.28281E-4,1.516649974,0.119010222,0.690846287,0.003460208,0
3.78757E-4,1.770079901,0.136008069,0.678756477,0.003460208,0
4.15772E-4,2.012101758,0.148264102,0.668393782,0.010380623,0
4.80113E-4,2.287340414,0.169155856,0.658031088,0.010380623,0
5.37474E-4,2.543157852,0.187348803,0.649395509,0.01384083,0
5.96152E-4,2.773278573,0.205547168,0.642487047,0.01384083,0
6.22008E-4,3.018334291,0.21343643,0.635578584,0.01384083,0
6.58046E-4,3.279029604,0.224301473,0.628670121,0.017301038,0
7.3909E-4,3.560449746,0.248190895,0.621761658,0.017301038,0
8.23177E-4,3.802298512,0.27219954,0.616580311,0.017301038,0
9.08696E-4,4.069167679,0.295830948,0.611398964,0.017301038,0
9.12897E-4,4.25134987,0.296971903,0.607944732,0.020761246,0
9.7078E-4,4.539185608,0.312504557,0.602763385,0.024221453,0
1.0394E-3,4.840444562,0.330473638,0.597582038,0.024221453,0
1.10359E-3,5.058997197,0.346858926,0.594127807,0.024221453,0
1.162E-3,5.285859952,0.361419003,0.590673575,0.024221453,0
1.17177E-3,5.519730227,0.363823024,0.587219344,0.024221453,0
1.22299E-3,5.762628394,0.376276982,0.583765112,0.031141869,0
1.36414E-3,6.023073098,0.409348105,0.580310881,0.031141869,0
1.41217E-3,6.302891434,0.42019604,0.576856649,0.031141869,0
1.44079E-3,6.590666825,0.426567689,0.573402418,0.031141869,0
1.49531E-3,6.886223862,0.438508169,0.569948187,0.038062284,0
1.52132E-3,7.038355958,0.444116665,0.568221071,0.038062284,0
1.55338E-3,7.347069251,0.450953339,0.564766839,0.041522491,0
1.55356E-3,7.502424943,0.450990326,0.563039724,0.041522491,0
1.60031E-3,7.820227623,0.460808713,0.559585492,0.041522491,0
1.60889E-3,8.141147171,0.462590468,0.556131261,0.048442907,0
1.60889E-3,8.302035721,0.462590468,0.552677029,0.048442907,0
1.63576E-3,8.627098271,0.468136732,0.550949914,0.055363322,0
1.64169E-3,8.954843133,0.469351333,0.547495682,0.062283737,0
1.72613E-3,9.127456472,0.486368903,0.545768566,0.062283737,0
1.7301E-3,9.300466852,0.487155438,0.544041451,0.065743945,0
1.75097E-3,9.649678182,0.491269061,0.540587219,0.065743945,0
1.77057E-3,9.826735396,0.495103781,0.538860104,0.065743945,0
1.77469E-3,10.004204584,0.495905993,0.537132988,0.069204152,0
1.7971E-3,10.36361614,0.500247374,0.533678756,0.069204152,0
1.81302E-3,10.54491807,0.503308444,0.531951641,0.07266436,0
1.85291E-3,10.914299476,0.510897225,0.528497409,0.076124567,0
1.85332E-3,11.099631843,0.510975489,0.526770294,0.079584775,0
1.85332E-3,11.284964209,0.510975489,0.523316062,0.079584775,0
1.87987E-3,11.659988491,0.515960672,0.521588946,0.089965398,0
1.8859E-3,11.848578034,0.517085015,0.519861831,0.089965398,0
1.8973E-3,12.038308175,0.519206359,0.518134715,0.089965398,0
1.89849E-3,12.418006328,0.519427023,0.512953368,0.093425606,0
1.90814E-3,12.608820294,0.521213475,0.512953368,0.100346021,0
1.92474E-3,12.801294605,0.524272001,0.511226252,0.100346021,0
1.94713E-3,13.573430086,0.528364166,0.504317789,0.114186851,0
1.95162E-3,13.768592252,0.529181946,0.502590674,0.114186851,0
1.9706E-3,14.162396726,0.532619013,0.499136442,0.117647059,0
1.99393E-3,14.36178972,0.536808004,0.497409326,0.121107266,0
1.9991E-3,14.561699954,0.537731815,0.495682211,0.124567474,0
2.00474E-3,14.762174432,0.538737472,0.493955095,0.128027682,0
2.02104E-3,15.165968751,0.541628749,0.490500864,0.128027682,0
2.05169E-3,15.371137852,0.547020382,0.488773748,0.131487889,0
2.05507E-3,15.576644725,0.547610561,0.487046632,0.134948097,0
2.06433E-3,15.988584404,0.549224468,0.483592401,0.141868512,0
2.07401E-3,16.195985184,0.5509055,0.481865285,0.141868512,0
2.08751E-3,16.404736432,0.553240321,0.480138169,0.141868512,0
2.11368E-3,16.616104633,0.557730268,0.478411054,0.14532872,0
2.11583E-3,16.82768754,0.558096634,0.476683938,0.14532872,0
2.13422E-3,17.04110917,0.56122175,0.474956822,0.14532872,0
2.13705E-3,17.254814436,0.56170185,0.473229706,0.14532872,0
2.1556E-3,18.111490201,0.564828311,0.466321244,0.15916955,0
2.15781E-3,18.327271501,0.565199917,0.464594128,0.15916955,0
2.15926E-3,18.543197488,0.565442668,0.462867012,0.162629758,0
2.24365E-3,18.767562716,0.579369721,0.461139896,0.162629758,0
2.26032E-3,19.219506778,0.582067416,0.457685665,0.169550173,0
2.27141E-3,19.446648178,0.583852889,0.455958549,0.169550173,0
2.2723E-3,19.673878527,0.583995739,0.454231434,0.173010381,0
2.28167E-3,19.90204541,0.585496804,0.452504318,0.173010381,0
2.29144E-3,20.131189778,0.587057727,0.450777202,0.176470588,0
2.29191E-3,20.360380709,0.587131938,0.449050086,0.179930796,0
2.31233E-3,20.591613372,0.590372814,0.447322971,0.183391003,0
2.33572E-3,20.825184933,0.594054139,0.445595855,0.183391003,0
2.33615E-3,21.058799769,0.594121939,0.443868739,0.186851211,0
2.33865E-3,21.292664837,0.594513764,0.442141623,0.190311419,0
2.34508E-3,21.527172473,0.595518194,0.440414508,0.190311419,0
2.35191E-3,21.762363799,0.59658417,0.438687392,0.190311419,0
2.37399E-3,22.235112884,0.600007746,0.435233161,0.197231834,0
2.37705E-3,22.710217437,0.600479519,0.431778929,0.204152249,0
2.37828E-3,22.948045698,0.600669311,0.430051813,0.207612457,0
2.37838E-3,23.185883804,0.600684487,0.428324698,0.207612457,0
2.39038E-3,23.424921429,0.602528996,0.426597582,0.211072664,0
2.39825E-3,23.664746404,0.603735078,0.424870466,0.211072664,0
2.40073E-3,23.904819596,0.604114542,0.423143351,0.214532872,0
2.40203E-3,24.14502232,0.604312421,0.421416235,0.21799308,0
2.42814E-3,24.387836125,0.608280216,0.419689119,0.221453287,0
2.43031E-3,24.630866771,0.608607931,0.417962003,0.221453287,0
2.43084E-3,26.0891045,0.608689277,0.407599309,0.242214533,0
2.43444E-3,26.57563256,0.609231221,0.404145078,0.249134948,0
2.43828E-3,26.819460332,0.60981029,0.402417962,0.252595156,0
2.45349E-3,27.064808872,0.61209393,0.400690846,0.252595156,0
2.46143E-3,27.310951619,0.613281222,0.398963731,0.256055363,0
2.46257E-3,27.803351169,0.61345143,0.395509499,0.262975779,0
2.46276E-3,28.049626893,0.61347966,0.393782383,0.266435986,0
2.47238E-3,28.296864667,0.614912265,0.392055268,0.269896194,0
2.47473E-3,28.544337937,0.615262137,0.390328152,0.273356401,0
2.47918E-3,29.287202388,0.615921863,0.385146805,0.283737024,0
2.48826E-3,29.536027943,0.617265054,0.383419689,0.283737024,0
2.48914E-3,29.784941833,0.617395528,0.381692573,0.283737024,0
2.49851E-3,30.034793208,0.618777475,0.379965458,0.287197232,0
2.50642E-3,30.285435267,0.619939143,0.378238342,0.290657439,0
2.50784E-3,30.536219127,0.6201471,0.376511226,0.294117647,0
2.50792E-3,30.787010817,0.620158582,0.374784111,0.297577855,0
2.52732E-3,31.039743198,0.622993209,0.373056995,0.301038062,0
2.5313E-3,31.292873593,0.623571939,0.371329879,0.30449827,0
2.53338E-3,31.546211659,0.623873551,0.369602763,0.30449827,0
2.53615E-3,31.799826455,0.624275083,0.367875648,0.307958478,0
2.53661E-3,32.053487685,0.624342416,0.366148532,0.311418685,0
2.53692E-3,32.307179581,0.624386879,0.364421416,0.314878893,0
2.5384E-3,32.814711621,0.624601744,0.360967185,0.321799308,0
2.55885E-3,33.324436612,0.627552768,0.357512953,0.328719723,0
2.56472E-3,33.836793683,0.628396207,0.354058722,0.335640138,0
2.56836E-3,34.093629506,0.628917352,0.352331606,0.339100346,0
2.56881E-3,34.350510306,0.628981767,0.350604491,0.342560554,0
2.57031E-3,34.607541672,0.629197324,0.348877375,0.346020761,0
2.57031E-3,34.864573039,0.629197324,0.345423143,0.346020761,0
2.57033E-3,35.121605936,0.629199514,0.345423143,0.352941176,0
2.57654E-3,35.379260018,0.630087495,0.343696028,0.356401384,0
2.58171E-3,35.637431045,0.630824843,0.341968912,0.359861592,0
2.58626E-3,35.896057247,0.63147287,0.340241796,0.359861592,0
2.58626E-3,36.154683449,0.63147287,0.336787565,0.359861592,0
2.59069E-3,36.413752719,0.632102566,0.336787565,0.366782007,0
2.59212E-3,36.672964787,0.632305284,0.335060449,0.366782007,0
2.59376E-3,36.932341216,0.632538475,0.333333333,0.370242215,0
2.606E-3,37.192940847,0.63426928,0.331606218,0.370242215,0
2.62646E-3,37.455586966,0.637146806,0.329879102,0.370242215,0
2.64799E-3,37.720386,0.640149544,0.328151986,0.370242215,0
2.66295E-3,37.986681362,0.642221871,0.32642487,0.373702422,0
2.66333E-3,38.519309447,0.642273461,0.322970639,0.380622837,0
2.66333E-3,38.785642171,0.642273461,0.319516408,0.380622837,0
2.67177E-3,39.052819181,0.643437311,0.319516408,0.387543253,0
2.702E-3,39.323019568,0.647574062,0.317789292,0.387543253,0
2.7284E-3,39.595859706,0.651146652,0.316062176,0.39100346,0
2.73022E-3,39.86888153,0.651391206,0.31433506,0.39100346,0
2.73022E-3,40.141903354,0.651391206,0.310880829,0.39100346,0
2.7315E-3,40.415053809,0.651564243,0.310880829,0.397923875,0
2.73242E-3,40.68829563,0.651687099,0.309153713,0.401384083,0
2.73593E-3,40.961889017,0.652159426,0.307426598,0.404844291,0
2.73643E-3,41.23553203,0.652226048,0.305699482,0.408304498,0
2.74816E-3,41.510347754,0.653796657,0.303972366,0.411764706,0
2.76578E-3,42.061741768,0.65614393,0.300518135,0.418685121,0
2.78862E-3,42.340603576,0.659161317,0.298791019,0.422145329,0
2.79093E-3,42.619696161,0.659464785,0.297063903,0.425605536,0
2.7967E-3,42.899366216,0.660222962,0.295336788,0.429065744,0
2.80734E-3,43.180100083,0.661615254,0.293609672,0.432525952,0
2.81638E-3,43.461737947,0.6627939,0.291882556,0.435986159,0
2.84941E-3,43.746678734,0.667065507,0.29015544,0.439446367,0
2.85229E-3,44.031907688,0.667435611,0.288428325,0.442906574,0
2.85519E-3,44.317426453,0.667807413,0.286701209,0.446366782,0
2.86927E-3,44.604353235,0.669607863,0.284974093,0.446366782,0
2.88256E-3,44.892609223,0.671298581,0.283246978,0.44982699,0
2.91732E-3,45.184340814,0.675678689,0.281519862,0.44982699,0
2.92307E-3,45.476648223,0.676398703,0.279792746,0.453287197,0
2.92387E-3,45.769035181,0.676498048,0.27806563,0.453287197,0
2.93899E-3,46.062933829,0.678380119,0.276338515,0.456747405,0
2.94988E-3,46.651820096,0.679729111,0.272884283,0.46366782,0
2.9636E-3,46.948179878,0.681420861,0.271157168,0.467128028,0
2.97018E-3,47.245198275,0.682229698,0.269430052,0.467128028,0
2.97835E-3,47.543033729,0.68323026,0.267702936,0.470588235,0
2.99189E-3,47.842223028,0.684881237,0.26597582,0.474048443,0
2.99295E-3,48.141517939,0.685009665,0.264248705,0.477508651,0
2.99863E-3,48.441380643,0.68569923,0.262521589,0.480968858,0
3.00098E-3,48.741478326,0.68598416,0.260794473,0.484429066,0
3.00392E-3,49.64206587,0.686340897,0.255613126,0.494809689,0
3.00656E-3,49.942721876,0.686660138,0.25388601,0.498269896,0
3.01273E-3,50.243994797,0.687405362,0.252158895,0.501730104,0
3.03482E-3,50.547476901,0.690059514,0.250431779,0.505190311,0
3.05288E-3,51.156246957,0.692212343,0.246977547,0.512110727,0
3.05305E-3,51.461551687,0.692232276,0.245250432,0.515570934,0
3.06301E-3,51.767853158,0.693414046,0.243523316,0.519031142,0
3.09646E-3,52.077499366,0.697346619,0.2417962,0.519031142,0
3.10188E-3,52.387687617,0.697979158,0.240069085,0.522491349,0
3.1105E-3,52.698737189,0.698981563,0.238341969,0.525951557,0
3.1105E-3,53.320836334,0.698981563,0.233160622,0.525951557,0
3.1201E-3,53.632845966,0.70009496,0.233160622,0.53633218,0
3.15506E-3,53.94835225,0.704115382,0.231433506,0.539792388,0
3.15542E-3,54.263893849,0.70415571,0.22970639,0.543252595,0
3.16802E-3,54.580695459,0.705591017,0.227979275,0.546712803,0
3.1954E-3,54.900235506,0.708686466,0.226252159,0.55017301,0
3.20456E-3,55.540231983,0.709715031,0.222797927,0.557093426,0
3.20726E-3,55.860957604,0.710016487,0.221070812,0.560553633,0
3.21723E-3,56.182680906,0.711131018,0.219343696,0.564013841,0
3.22282E-3,56.504962448,0.711752769,0.21761658,0.567474048,0
3.22625E-3,56.8275872,0.712134362,0.215889465,0.570934256,0
3.22898E-3,57.795735167,0.712438321,0.210708117,0.581314879,0
3.2321E-3,58.441843957,0.712784259,0.207253886,0.588235294,0
3.26527E-3,58.768371447,0.716438193,0.20552677,0.591695502,0
3.26788E-3,59.095159908,0.716723677,0.203799655,0.595155709,0
3.27664E-3,59.422824269,0.717679758,0.202072539,0.598615917,0
3.29079E-3,59.751903397,0.719217219,0.200345423,0.602076125,0
3.30263E-3,60.411245391,0.720497183,0.196891192,0.60899654,0
3.30263E-3,60.741508258,0.720497183,0.19343696,0.60899654,0
3.30878E-3,61.07238621,0.721159962,0.19343696,0.615916955,0
3.31122E-3,61.403507965,0.721422235,0.191709845,0.619377163,0
3.31364E-3,61.734872196,0.721682835,0.189982729,0.62283737,0
3.31758E-3,62.066629882,0.722105181,0.188255613,0.626297578,0
3.31892E-3,62.39852177,0.722249091,0.186528497,0.629757785,0
3.32219E-3,62.730741055,0.722599857,0.184801382,0.633217993,0
3.32219E-3,63.395179626,0.722599857,0.179620035,0.633217993,0
3.32563E-3,63.727742296,0.722967278,0.179620035,0.643598616,0
3.33385E-3,64.726252396,0.723844933,0.174438687,0.653979239,0
3.33851E-3,65.060103283,0.724341331,0.172711572,0.657439446,0
3.34644E-3,65.394747378,0.725183999,0.170984456,0.660899654,0
3.35412E-3,65.730159873,0.725997857,0.16925734,0.664359862,0
3.35428E-3,66.065587854,0.726014235,0.167530225,0.667820069,0
3.35453E-3,66.401040416,0.726040228,0.165803109,0.671280277,0
3.36307E-3,66.737347334,0.726942158,0.164075993,0.674740484,0
3.36617E-3,67.073964476,0.727268921,0.162348877,0.678200692,0
3.36805E-3,67.410769244,0.72746636,0.160621762,0.6816609,0
3.37038E-3,68.421417049,0.727711875,0.155440415,0.692041522,0
3.38564E-3,68.759981014,0.729310628,0.153713299,0.69550173,0
3.38564E-3,70.114236876,0.729310628,0.14507772,0.69550173,0
3.38814E-3,70.453050918,0.729571782,0.14507772,0.712802768,0
3.40829E-3,70.793879622,0.73166652,0.143350604,0.716262976,0
3.40829E-3,71.816365735,0.73166652,0.136442142,0.716262976,0
3.4083E-3,72.157195725,0.731667852,0.136442142,0.730103806,0
3.41004E-3,72.4981997,0.731847988,0.134715026,0.730103806,0
3.41607E-3,72.839806802,0.732471504,0.13298791,0.733564014,0
3.41699E-3,73.181506248,0.73256684,0.131260794,0.737024221,0
3.41699E-3,73.523205693,0.73256684,0.127806563,0.737024221,0
3.42111E-3,73.865317023,0.732991664,0.127806563,0.743944637,0
3.42949E-3,74.892488246,0.733853118,0.122625216,0.75432526,0
3.43703E-3,75.236190921,0.734626668,0.1208981,0.757785467,0
3.43974E-3,75.580164548,0.734904056,0.119170984,0.761245675,0
3.43974E-3,75.924138176,0.734904056,0.115716753,0.761245675,0
3.44589E-3,76.268727071,0.735532859,0.115716753,0.76816609,0
3.46098E-3,76.61482478,0.737068557,0.113989637,0.771626298,0
3.46251E-3,76.961075635,0.737223934,0.112262522,0.775086505,0
3.46251E-3,77.307326491,0.737223934,0.10880829,0.775086505,0
3.46475E-3,77.653801754,0.737451443,0.10880829,0.78200692,0
3.47216E-3,78.001017691,0.738200956,0.107081174,0.785467128,0
3.47922E-3,78.696155933,0.738913758,0.103626943,0.792387543,0
3.47922E-3,79.044078236,0.738913758,0.100172712,0.792387543,0
3.4849E-3,79.392568636,0.739485621,0.100172712,0.799307958,0
3.4849E-3,80.438039835,0.739485621,0.093264249,0.799307958,0
3.49209E-3,80.78724932,0.740207679,0.093264249,0.813148789,0
3.49701E-3,81.136950419,0.740700174,0.091537133,0.816608997,0
3.49936E-3,81.83658741,0.740935059,0.088082902,0.823529412,0
3.50995E-3,82.18758277,0.741992294,0.086355786,0.826989619,0
3.51195E-3,82.538777503,0.742190764,0.08462867,0.830449827,0
3.51195E-3,82.889972237,0.742190764,0.081174439,0.830449827,0
3.51453E-3,83.241425027,0.742447426,0.081174439,0.837370242,0
3.51819E-3,83.593244378,0.742811564,0.079447323,0.84083045,0
3.51819E-3,83.945063728,0.742811564,0.075993092,0.84083045,0
3.52648E-3,84.297711547,0.743632665,0.075993092,0.847750865,0
3.52779E-3,85.003138749,0.743762816,0.07253886,0.85467128,0
3.53029E-3,85.356167404,0.744009233,0.070811744,0.858131488,0
3.53029E-3,86.768282025,0.744009233,0.062176166,0.858131488,0
3.53073E-3,87.121355116,0.744053136,0.062176166,0.875432526,0
3.53544E-3,87.474899138,0.744517945,0.06044905,0.878892734,0
3.55393E-3,87.830291963,0.74633457,0.058721934,0.882352941,0
3.56066E-3,88.18635837,0.746993213,0.056994819,0.885813149,0
3.56066E-3,88.542424777,0.746993213,0.053540587,0.885813149,0
3.56111E-3,88.898535722,0.747036704,0.053540587,0.892733564,0
3.57051E-3,89.255586374,0.747952555,0.051813472,0.896193772,0
3.57314E-3,89.612900467,0.748208713,0.050086356,0.899653979,0
3.57913E-3,89.970813441,0.74879007,0.04835924,0.903114187,0
3.58179E-3,90.328992533,0.74904797,0.046632124,0.906574394,0
3.59139E-3,90.688131081,0.749975599,0.044905009,0.910034602,0
3.59394E-3,91.047524838,0.750221764,0.043177893,0.91349481,0
3.59488E-3,91.407012855,0.750312623,0.041450777,0.916955017,0
3.60306E-3,91.767318669,0.751099523,0.039723661,0.920415225,0
3.60367E-3,92.487991125,0.751157955,0.03626943,0.92733564,0
3.6086E-3,92.848851221,0.751631454,0.034542314,0.930795848,0
3.61291E-3,93.210142219,0.752044194,0.032815199,0.934256055,0
3.61395E-3,93.571537021,0.75214352,0.031088083,0.937716263,0
3.63674E-3,93.935211218,0.754314591,0.029360967,0.941176471,0
3.63842E-3,94.299053623,0.754474048,0.027633851,0.944636678,0
3.67836E-3,95.030731948,0.758229591,0.02417962,0.951557093,0
3.68286E-3,95.39901772,0.758649021,0.022452504,0.955017301,0
3.68547E-3,96.504136646,0.758892603,0.017271157,0.965397924,0
3.72746E-3,96.876882744,0.76276853,0.015544041,0.968858131,0
3.72884E-3,97.249766601,0.762894637,0.013816926,0.972318339,0
3.76629E-3,97.626395647,0.766297487,0.01208981,0.975778547,0
3.76914E-3,98.003309277,0.766554053,0.010362694,0.979238754,0
3.78823E-3,98.382132731,0.768268573,0.008635579,0.982698962,0
3.84722E-3,98.766854408,0.77348454,0.006908463,0.98615917,0
3.93159E-3,99.160013018,0.780742143,0.005181347,0.989619377,0
4.11274E-3,99.571286752,0.795549063,0.003454231,0.993079585,0
4.28713E-3,100,0.808858252,0.001727116,0.996539792,0
4.28713E-3,100,0.808858252,0,0.996539792,0
